Base	Genre-base	Nombre-base	Collocatif	Genre-collocatif	Nombre-collocatif	Lemme collocatif	Compositionnel	Phrase	ID	Corpus	URL
balles	féminin	pluriel	plomb	masculin	singulier	plomb	Oui	Il avait apporté avec lui un mousquet de cinq pieds de long dont il avait démonté le canon pour qu'il soit facile à transporter, sa fourquine, un récipient de poudre noire et un sac contenant quelques balles de plomb et des mèches.	s7495 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s7495&idxml=LITT.fr.DAILLON.xml&user=userP&token=755f415dc6ed9334d513520b0418ee13
lamelles	féminin	pluriel	plomb	masculin	singulier	plomb	Oui	À un détail près : un minuscule étui de cigarettes, qui renfermait un sachet de poudre verte entouré de lamelles de plomb isolantes.	s34008 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s34008&idxml=lfi2010_2011.xml&user=user&token=09ee1a68fc1041e056d4962a16a42c98
balle	féminin	singulier	plomb	masculin	singulier	plomb	Oui	Il lui aurait suffi, pour s'apercevoir de son erreur, de tirer au pistolet une balle de plomb d'une once contre une boule de chiffons serrés d'un poids supérieur de deux livres.	s5147 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s5147&idxml=LITT.fr.GOLON~GOLON.xml&user=userP&token=c27d472bd8b661dd368282d38129ace8
noyaux	masculin	pluriel	plomb	masculin	singulier	plomb	Oui	La température qu'atteint la matière formée lors du choc entre deux noyaux de plomb est de l'ordre de 100 000 fois celle régnant au coeur du Soleil.	s46218 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s46218&idxml=lfi2010_2011.xml&user=user&token=6f69257f750c50c6fc76c30abcd058e8
cartouches	féminin	pluriel	plomb	masculin	singulier	plomb	Oui	A l'époque, ils avaient formellement identifié les hommes rejugés pour avoir tiré des cartouches de plomb sur des policiers lors des émeutes qui avaient éclaté en 2007 après la mort accidentelle de deux adolescents.	s74369 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s74369&idxml=libe2010_2015.xml&user=user&token=9db5a19d9df727d90c04bfcba7b74ecf
billes	féminin	pluriel	plomb	masculin	singulier	plomb	Oui	À la costumière, Dussollier a demandé de remplir le bas de son pantalon de billes de plomb, pour alourdir son pas.	s66308 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s66308&idxml=lfi2010_2011.xml&user=userP&token=8cb242ad11bb1f464578ae9cc6be521f
boulet	masculin	singulier	plomb	masculin	singulier	plomb	Oui	Il n'y a là que des figures connues : l'homme le plus fort du monde, capable d'envoyer sur la lune un boulet de plomb, la femme à barbe à la voix cristalline, le lanceur de couteaux colérique, la femme animale que l'on tient en cage...	s20005 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s20005&idxml=libe2010_2015.xml&user=userP&token=a20f1e85e54f194ebae4e449cb26c778
bille	féminin	singulier	plomb	masculin	singulier	plomb	Oui	Erg rauqua sous l'extraction à la pince d'une bille de plomb.	s4361 	FY : Corpus fantastique de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s4361&idxml=FY.fr.DAMASIO.xml&user=userP&token=16ab077e7492b28e4319ebf11ba48817
plaque	féminin	singulier	plomb	masculin	singulier	plomb	Oui	Il fallait faire coulisser la dalle-couvercle, placer la dépouille sur la plaque de plomb, refermer la dalle et abaisser un levier.	s2469 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s2469&idxml=LITT.fr.AYERDHAL.xml&user=userP&token=b5002a1b7138ffb396ca4c58b5e2cf89
coupole	féminin	singulier	plomb	masculin	singulier	plomb	Oui	Zolt fit établir au sommet de la colline une coupole en verre à base de plomb qui permettait de mieux observer ce qui se passait à la surface.	s5201 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s5201&idxml=LITT.fr.BARBET.xml&user=userP&token=0e4a2cc10d8e8f063016fad76e3fac2f
silence	masculin	singulier	plomb	masculin	singulier	plomb	Non	Les protagonistes arrivent peu à peu dans un silence de plomb, interrompu seulement par une garde répétant d'une voix de stentor que les téléphones portables doivent être sur vibreur et non visibles.	s179042 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s179042&idxml=lfi2010_2011.xml&user=userP&token=0b01998de05091c2334b214d347db57b
silence	masculin	singulier	plomb	masculin	singulier	plomb	Non	Perdus dans l'immensité aride des montagnes afghanes, ces soldats chargés de la sécurité du village voisin font le guet, nuit et jour, dans un silence de plomb, lourd à rendre fou.	s1365638 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s1365638&idxml=lm2010_2015.xml&user=userP&token=5f000fe5e60a1af9d057ea2b45a6b18f
silence	masculin	singulier	plomb	masculin	singulier	plomb	Non	Dans le silence de plomb qui était tombé sur l'assistance, on n'entendait qu'un petit bruit de source.	s3855 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s3855&idxml=LITT.fr.BRASEY.xml&user=userP&token=99395468fc7e495bed7a87ea5e7cf871
silence	masculin	singulier	plomb	masculin	singulier	plomb	Non	Elle fit défiler les numéros aussi vite que possible alors qu'un silence de plomb tombait sur la salle, et que certains prenaient cette récréation pour une autorisation à plonger, eux aussi, le nez dans leurs smartphones.	s5087 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s5087&idxml=LITT.fr.BREAU.xml&user=userP&token=f07c306f0b1d9ddfd9b91ec13c5d94c1
silence	masculin	singulier	plomb	masculin	singulier	plomb	Non	Je redescendis brutalement sur terre et pus contempler l'ensemble de mon oeuvre : un silence de plomb, une salle ravagée, des clients scandalisés, mes cinq convives blancs comme des linges, et moi-même, encore sous le joug du sommelier gringalet.	s245 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s245&idxml=LITT.fr.HENRIONNET.xml&user=userP&token=45fbaed4a089bfd2fcff66c665e19953
silence	masculin	singulier	plomb	masculin	singulier	plomb	Non	Malgré tous ces écueils, des témoignages seront au moins sortis du silence de plomb de ces quarante dernières années.	s681385 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s681385&idxml=lm2010_2015.xml&user=userP&token=671e98ac253398a22b5afe0bcba1c216
silence	masculin	singulier	plomb	masculin	singulier	plomb	Non	La remorque fut secouée par une succession de cahots avant de s'immobiliser dans un grincement sinistre, puis, un à un, les moteurs se turent et un silence de plomb ensevelit la caravane.	s258 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s258&idxml=LITT.fr.BORDAGE.xml&user=userP&token=c5cf86fc7aed826058a1bf064ada101c
silence	masculin	singulier	plomb	masculin	singulier	plomb	Non	Le mot, enfin prononcé, semblait tellement abominable que Victor baissa les yeux tandis qu'un silence de plomb s'abattait sur eux.	s11888 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s11888&idxml=LITT.fr.BOURDIN.xml&user=userP&token=24b3a02fb5ea46b09a4ad0703344fdca
silence	masculin	singulier	plomb	masculin	singulier	plomb	Non	Un silence de plomb est venu m'apporter la preuve que ces quelques mots résonnaient longuement dans les esprits, comme si un bloc de roche lunaire était tombé au centre d'une mer d'huile.	s2397 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s2397&idxml=LITT.fr.DANTEC.xml&user=userP&token=f521b8d153826f35cda8025246f7a2e7
silence	masculin	singulier	plomb	masculin	singulier	plomb	Non	Paul et Sophie émirent quelques grognements de protestations et obéirent finalement, laissant derrière eux un silence de plomb.	s16245 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s16245&idxml=LITT.fr.JOMAIN.xml&user=userP&token=4cefc01bcb805948debcbdb13cff3975
urne	féminin	singulier	plomb	masculin	singulier	plomb	Oui	– Dans une urne de plomb, sous un pin, ricana Chris en vidant son verre.	s766 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s766&idxml=LITT.fr.CANAL.xml&user=userP&token=82ac3e97a7bdf26081e2a90d825036ab
tablette	féminin	singulier	plomb	masculin	singulier	plomb	Oui	Le moricaud s'assit en tailleur, tira de son coffret une mince tablette de plomb et un style aiguisé.	s11475 	FY : Corpus fantastique de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s11475&idxml=FY.fr.JAWORSKI.xml&user=userP&token=3c498c0a568e9f1cbf378c292accd487
tuyau	masculin	singulier	plomb	masculin	singulier	plomb	Oui	Il tenait un truc dans une main que j'ai vaguement identifié comme un tuyau de plomb, long de soixante bons centimètres.	s1411 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s1411&idxml=LITT.fr.DANTEC2.xml&user=userP&token=55b666fd729af82d9473b40d1040b2ef
cercueil	masculin	singulier	plomb	masculin	singulier	plomb	Oui	Souffler enfin, se reposer à jamais en un cercueil de plomb déposé en une fosse aux parois de marbre où l'attendaient sans impatience ses ancêtres momifiés... comme ils l'étaient déjà de leur vivant !	s4574 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s4574&idxml=LITT.fr.FAJARDIE.xml&user=userP&token=0eefc451ea8b9e2d1560a669d2f64f66
cage	féminin	singulier	plomb	masculin	singulier	plomb	Oui	L'homme est né sous des cieux ouverts, et, quoi qu'il fasse, l'immensité de ces étendues pèse plus durement sur lui qu'aucune cage de plomb.	s1036 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s1036&idxml=LITT.fr.KLEIN.xml&user=userP&token=b01d18078ed23dda909c34db1edebbca
gants	masculin	pluriel	plomb	masculin	singulier	plomb	Oui	C'est dangereux de l'approcher, et je n'ai qu'une seule paire de gants de plomb.	s6240 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s6240&idxml=LITT.fr.GENEFORT.xml&user=userP&token=155a1e700a285ce44c3bce5ab3334927
masse	féminin	singulier	plomb	masculin	singulier	plomb	Oui	On lui fixa au pied une chaîne reliée à une masse de plomb qu'on lui mit en main.	s4397 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s4397&idxml=LITT.fr.GODDYN.xml&user=userP&token=238a2eeb66b73c62051a6f7c833b38d4
lingot	masculin	singulier	plomb	masculin	singulier	plomb	Oui	Mais, par exemple, elle admettait mal d'être mêlée aux projets du régisseur au même titre qu'une ânesse ou un lingot de plomb.	s3957 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s3957&idxml=LITT.fr.GOLON~GOLON.xml&user=userP&token=73d473b490e215cd9eaa53248198c287
morceau	masculin	singulier	plomb	masculin	singulier	plomb	Oui	La bougie fut allumée et Fritz Hauër apporta un petit tube recourbé à angle droit, dans lequel le comte se mit à souffler de façon à diriger la flamme de la bougie sur le morceau de plomb incrusté dans la coupelle d'os.	s14436 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s14436&idxml=LITT.fr.GOLON~GOLON.xml&user=userP&token=c2213c0470fc170569b24aa535739d1b
armatures	féminin	pluriel	plomb	masculin	singulier	plomb	Oui	Jeanne déambula sous les armatures de plomb et de zinc : l'atelier était un pur lieu industriel du XIX e siècle recyclé en loft moderne.	s18653 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s18653&idxml=LITT.fr.GRANGE.xml&user=userP&token=ef1bc37ca500fc0972889e20bfcb4225
