Base	Collocatif	Compositionnel	Phrase	ID	Corpus	URL
vie	saine	Oui	Faut que tu dormes plus, il lui disait, faut que tu te reposes, faut que t'arrêtes de sortir comme ça tous les soirs si t'es pas capable d'assumer le lendemain au boulot, t'as trente ans un gamin une gentille femme un loyer à payer, faut que tu ralentisses et que tu mènes une vie plus saine, t'auras pas toujours un patron sympa comme moi pour te payer à bayer aux corneilles dès midi sonné.	s228 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s228&idxml=LITT.fr.ADAM.xml&user=userP&token=3991bf0fde6914283d3b438b6215f011
personne	saine	Oui	Une personne saine et enjouée, me dis-je, n'aurait pas fait ce que je faisais.	s663 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s663&idxml=LITT.fr.BELLETTO.xml&user=userP&token=54a0038f696a912846cac119469eae37
peau	saine	Oui	La louve s'élança aussitôt vers le petit et entreprit de le nettoyer à grands coups de langue, léchant la carapace écailleuse qui fondit dans l'instant, révélant sous la membrane visqueuse une peau saine et rose.	s8737 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s8737&idxml=LITT.fr.BRASEY.xml&user=userP&token=31aec4b69758bc245bb5d4df902dc6aa
nourriture	saine	Oui	Une nourriture saine et complète lui suffit.	s4110 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s4110&idxml=LITT.fr.DIROLLO.xml&user=userP&token=afa80e34b5f95f1479a97f513605c6c8
chair	saine	Oui	Et puis, cette propreté, ce visage massif et diaphane, cette foulée aérienne, et cette odeur de chair saine, jamais Junior ne les a connus.	s2317 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s2317&idxml=LITT.fr.KHADRA.xml&user=user&token=3cd0621bde0326e351a292b2725b9d2d
écorces	saines	Oui	Du revers de ma lame j'écartais une feuille quand un jeune arbre aux écorces saines et luisantes m'apparut dans toute sa beauté.	s856 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s856&idxml=LITT.fr.AUGIERAS.xml&user=userP&token=e87d74286fe9c737a00fc50cdbe013f0
dents	saines	Oui	Du coin de l'oeil, je l'examine : le teint rose, la peau bien tendue sur les os qu'on devine à peine sous une suffisante couche de graisse, les dents saines et blanches, des yeux obliques, rieurs et bleus.	s364 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s364&idxml=LITT.fr.LANGFUS.xml&user=user&token=1225e45ce5f35dffe69bfcf79551d22e
bouche	saine	Oui	– Au moins, toi, dit-elle en me souriant de sa large bouche saine et éclatante, tu es l'homme nature.	s21398 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s21398&idxml=LITT.fr.MERLE2.xml&user=user&token=a7855ba7979359acbffb213cde771ec5
jambe	saine	Oui	Sa jambe saine, sur laquelle il avait transféré tout son poids, tremblait de fatigue.	s12962 	SF : Corpus de science-fiction de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s12962&idxml=SF.fr.BORDAGE.xml&user=userP&token=de4bafbe504094c855f8539bfb6e20ac
feuilles	saines	Oui	À bout de souffle, il s'appuya contre un saule et nota qu'on aurait dû élaguer l'arbre au printemps ; ses feuilles étaient trop petites pour être saines.	s148 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s148&idxml=LITT.fr.BROUILLET.xml&user=userP&token=865447ee52b5eabfbcf70318fddb695d
observateur	fin	Non	On la découvre à travers les yeux de Gus, fin observateur du monde qui l'entoure.	s7764 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s7764&idxml=lfi2010_2011.xml&user=userP&token=911e14799d449847822fe996d275a7be
observateur	fin	Non	"A une ou deux contrariétés près, ainsi résumées par son directeur, Paul-Henri Wauters, au demeurant fin observateur de l'évolution des moeurs artistico-économiques : ""La particularité de cette édition est, qu'en la préparant, nous avons eu cinq ou six groupes qui nous ont finalement filés entre les doigts après avoir longtemps tergiversé."	s168271 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s168271&idxml=libe2010_2015.xml&user=userP&token=c92826e0c9dbaabe5f235363079c836d
observateur	fin	Non	Markus Hansen, en fin observateur, s'est donné comme projet fou de chercher à saisir les émotions subtiles qui se dessinent sur un visage, et ça marche !	s197999 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s197999&idxml=libe2010_2015.xml&user=userP&token=d1f0715adb04234b75001fb62397b81e
observateur	fin	Non	Bachar Al-Assad est assurément un fin observateur de la scène internationale.	s701791 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s701791&idxml=lm2010_2015.xml&user=userP&token=3ae20bc08b10d1c68110435f07582f06
observateur	fin	Non	L'écrivain, fin observateur de la société contemporaine, prouve avec ce nouveau livre que le vin n'est décidément pas destiné qu'à être bu!	s728380 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s728380&idxml=lm2010_2015.xml&user=userP&token=e88eeeae0bf69c807b6ed4af1d74178c
observateur	fin	Non	"La vie ici est très épicée, on vit plus intensément, ce qui fait la beauté de nos créations "" , rêve l'architecte Nabil Gholam, fin observateur de ses contemporains."	s1182613 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s1182613&idxml=lm2010_2015.xml&user=userP&token=46c7f533eaca800826cf5daf1d457034
observateur	fin	Non	Pour ce fin observateur du système, si réforme il y a, elle ne peut se faire que dans le cadre d'une articulation avec le supérieur.	s1303969 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s1303969&idxml=lm2010_2015.xml&user=userP&token=383c80037a5c00cbe8f3d2b1d3d2e030
observateur	fin	Non	Sous ses dehors réservés, le Maure était fin observateur et bien introduit auprès de quelques courtisans.	s9034 	HIST : Corpus historique de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s9034&idxml=HIST.fr.GIRARD.xml&user=userP&token=56d5ea454bb2678172cb1104aae2399a
observateur	fin	Non	Ça passe par moi, ça peut passer par toi, assène Lorenzo, fin observateur de la politique intérieure chez Modus.	s4968 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s4968&idxml=SENT.fr.TROMPETTE.xml&user=userP&token=fe4aab91f64cf1d2ef310b26d75ec7b0
observateur	fin	Non	Hurj Ingan était fin observateur et s'il se leurrait sur la nature du désir que Salvarode éprouvait pour elle, il avait percé le marchombre à jour avec une facilité déconcertante.	s2121 	FY : Corpus fantastique de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s2121&idxml=FY.fr.BOTTERO.xml&user=userP&token=d13a6a43bcf2aa729cf6ca4e45015872
bretelles	fines	Oui	Daphné avait enfilé une nuisette blanche en coton, à fines bretelles.	s3812 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s3812&idxml=LITT.fr.ABECASSIS.xml&user=userP&token=0d92be6ea1ce4207d1e630dcdb7cb230
peau	fine	Oui	Ce garçon était si sculptural que passer la main sur sa musculature nerveuse donnait l'impression de caresser la peau fine et tendue d'un cheval sauvage.	s6287 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s6287&idxml=LITT.fr.ABECASSIS.xml&user=userP&token=f93ffc632d0f011f90e95ca94da00a27
couche	fine	Oui	Je porte une fine couche de tartre sur les dents, rapport au fait que j'ai oublié de me les brosser ce matin. 	s8097 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s8097&idxml=LITT.fr.ABECASSIS.xml&user=userP&token=e16f9b9d5d043fa6a6b86873ceba197b
robe	fine	Oui	La femme, adipeuse et sans grâce, portait une fine robe à bretelles couleur saumon fumé, totalement inadaptée à la température de cette fin de journée dans une gare glaciale.	s8331 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s8331&idxml=LITT.fr.ABECASSIS.xml&user=userP&token=5046ff8a01d3dfbc0704e9689dfcc296
lames	fines	Oui	Elle vise à obtenir des lames de pierre fines et aussi tranchantes que les couteaux d'aujourd'hui.	s206 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s206&idxml=lfi2010_2011.xml&user=userP&token=4af8f70a03e3f84bfd44aa8c69c1c17d
feuilles	fines	Oui	Rians propose ainsi une crème dessert accompagnée d'un sachet d'éclats d'amandes et de noisettes, et Lactalis-Nestlé une mousse aromatisée La Laitière mélangée à de fines feuilles de chocolat noir.	s21079 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s21079&idxml=lfi2010_2011.xml&user=userP&token=94282261bc7ed2f2073bb4098f9f5a63
moustaches	fines	Oui	La musique éclata sans crier gare, entraînante, joyeuse, et le grand rideau laissa échapper haut-de-forme, queue-de-pie, gants blancs et fines moustaches recourbées : l'incontournable M. Loyal.	s4126 	FY : Corpus fantastique de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s4126&idxml=FY.fr.ALBERT.xml&user=userP&token=e74a6a3eadb74dc4726ff34d9f3617f9
laine	fine	Oui	Se détournant, la jeune reine entra dans sa tente où des tapis et des couvertures de fine laine avaient été installés.	s2209 	FY : Corpus fantastique de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s2209&idxml=FY.fr.ANGE.xml&user=userP&token=c8f8c8db7a3d0b273ad0cf7576c3398b
tissu	fin	Oui	Marikani ne put s'empêcher de baisser les yeux sur ce que le tissu fin des vêtements du palais d'été, trempé, révélait sans qu'elle en ait conscience.	s8306 	FY : Corpus fantastique de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s8306&idxml=FY.fr.ANGE.xml&user=userP&token=c39ace833456452f4aee8787da06f458
matelas	fin	Oui	Allongés sur un fin matelas de jute, sur le sol dallé, leurs deux corps enlacés recouverts d'un drap blanc.	s17595 	FY : Corpus fantastique de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s17595&idxml=FY.fr.ANGE.xml&user=userP&token=de388cf87b3f159c9bd335c1f2e66374
ouïe	fine	Non	Il a surgi dans mon dos sans que je l'entende, et pourtant j'ai l'ouïe fine.	s1008 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s1008&idxml=LITT.fr.AUBERT.xml&user=userP&token=82e5c22e3a8372f98f7424e4c5f967e9
ouïe	fine	Non	Les grands-ducs ont l'ouïe fine.	s7445 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s7445&idxml=LITT.fr.BOISSET.xml&user=userP&token=6a53a4276b38ef916f560f6d17352f94
ouïe	fine	Non	J'avais beau essayer de partir sur la pointe des pieds, elle avait l'ouïe très fine.	s1698 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s1698&idxml=LITT.fr.IONESCO.xml&user=userP&token=1151743cbe7d3c8764bae432dfa68cf5
ouïe	fine	Non	Il devait avoir une ouïe fine car on pouvait douter qu'à cette distance un homme, à travers l'air battu par les eaux du fleuve, pût entendre.	s476 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s476&idxml=LITT.fr.SCHMITT.xml&user=userP&token=a0bf57541e80abd81b2ed43e74e039d4
ouïe	fine	Non	La gamine avait l'ouïe fine, et le regard assez perçant pour distinguer les lynx à l'entrée du domaine.	s5580 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s5580&idxml=LITT.fr.THOMAS.xml&user=userP&token=c9a4696450ae0267290c469298b365c2
ouïe	fine	Non	Son ouïe particulièrement fine lui permettait de saisir un léger murmure dans le salon voisin.	s11246 	SF : Corpus de science-fiction de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s11246&idxml=SF.fr.DEMUTH.xml&user=userP&token=edc8fde6f7e5cf78c1e5e27865be2153
ouïe	fine	Non	Mais les visiteurs clandestins ignoraient jusqu'à quel point ils avaient l'ouïe fine.	s14381 	SF : Corpus de science-fiction de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s14381&idxml=SF.fr.GENEFORT.xml&user=userP&token=acdf1d97665666f314b957d168ff3131
ouïe	fine	Non	J'ai essayé de ne pas faire de bruit, mais elle a l'ouïe fine et le sommeil léger.	s13191 	SF : Corpus de science-fiction de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s13191&idxml=SF.fr.WAGNER.xml&user=userP&token=35e528f591df8751c7695182c82d4840
ouïe	fine	Non	Je sais, grâce à mon ouïe très fine, deviner quand elle surgit derrière moi.	s68549 	SF : Corpus de science-fiction de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s68549&idxml=SF.fr.WERBER.xml&user=userP&token=5af6ba37a5c9f22a6e5b6c40deac58ac
ouïe	fine	Non	Aussitôt d'autres paranoïaques qui, obsession oblige, ont développé une ouïe plus fine que la moyenne, approchent et les encerclent.	s30612 	SF : Corpus de science-fiction de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s30612&idxml=SF.fr.WERBER.xml&user=userP&token=718502bbc1e0ad6a99d5f41c4ddddeab
moustache	fine	Oui	Il reconnaît Valičík, teint en brun, affublé d'une fine moustache brune, et Kubiš, l'oeil gonflé, le visage encore marqué, qui manifestent le plus bruyamment leur joie de le revoir.	s5197 	HIST : Corpus historique de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s5197&idxml=HIST.fr.BINET.xml&user=userP&token=cacb790db40c057d1665377679b0c970
membrane	fine	Oui	Il se sentit soudain comme suspendu avec elle dans une bulle spatio-temporelle, séparé des autres par une fine membrane invisible, une bulle où ils parlaient un langage perceptible à eux seuls.	s2676 	POLv2 : Corpus policier de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s2676&idxml=POL.fr.AUBERT.xml&user=userP&token=8a2dc94a61e43e9ca2806d1f57cab926
sandales	fines	Oui	Elle portait un sari chatoyant, dans les tons orangés, et de fines sandales Gucci en cuir tressé.	s5047 	POLv2 : Corpus policier de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s5047&idxml=POL.fr.AUBERT.xml&user=userP&token=8bdbc7c37dc5fd91b864c29380bdafb3
pattes	fines	Oui	Le papillon vint se poser sur les lèvres, frotta ses fines pattes contre la langue.	s7341 	POLv2 : Corpus policier de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s7341&idxml=POL.fr.AUBERT.xml&user=userP&token=b9d5b6ed2ee24ef8b1cdc671d9840b1a
lunettes	fines	Oui	Ses cheveux blancs, rejetés en arrière, de fines lunettes rondes cerclées d'or, il se tient très droit, le buste ressorti.	s492 	POLv2 : Corpus policier de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s492&idxml=POL.fr.AUDIN.xml&user=userP&token=b006e4315948ce674961eb535e0f32f9
bandes	fines	Oui	Le cuir noir était fatigué et, sous son poids, de fines bandes de rembourrage blanc semblaient prêtes à jaillir de la peausserie.	s9835 	POLv2 : Corpus policier de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s9835&idxml=POL.fr.BANNEL.xml&user=userP&token=8432f8ad892383ccf44d874f1f85dfa4
mouchoir	fin	Oui	Au cours de ses raids chez les morts, il croisait la route d'une dame stricte, un peu compassée, qui ne manquait aucune inhumation et se tapotait les yeux avec un fin mouchoir de soie, en observant l'assistance.	s493 	POLv2 : Corpus policier de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s493&idxml=POL.fr.BRUCKNER.xml&user=userP&token=b7d337fe9e09fb40c0d3e975e69ff69a
collier	fin	Oui	Machinalement ses doigts coururent dans sa nuque à la recherche de l'arracheur mécanique attaché à son cou par un fin collier de nylon, et que ses longues mèches dissimulaient au regard.	s20026 	POLv2 : Corpus policier de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s20026&idxml=POL.fr.BRUSSOLO.xml&user=userP&token=521bfa482eeffa21665862b549fc0dc0
cigarettes	fines	Oui	Loisel avait à peu près l'âge de Louis, la cinquantaine, il était menu et blond et fumait des cigarettes fines comme des pailles.	s63209 	POLv2 : Corpus policier de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s63209&idxml=POL.fr.VARGAS.xml&user=userP&token=79e4de3372478e9208abdb7823d9dcf0
stylet	fin	Oui	S'apprêtant au pire, elle tira des plis de sa robe le fin stylet qui ne la quittait jamais.	s67615 	POLv2 : Corpus policier de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s67615&idxml=POL.fr.BRUSSOLO.xml&user=userP&token=27b6da55e437fba50801c647a4f93afa
idée	brillante	Non	En créant cette activité, Scott Mc Nealy, l'ancien PDG de Sun Microsystems, savait qu'il avait entre les mains une idée brillante.	s397452 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s397452&idxml=lfi2010_2011.xml&user=userP&token=f980473b1745347dca7d86be9003ad0d
idée	brillante	Non	"Selon son entourage, il était ""absolument à jeun"" et a essayé d'uriner dans une bouteille, sur une brillante idée d'Edouard Baer, qui l'accompagnait."	s48065 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s48065&idxml=libe2010_2015.xml&user=userP&token=9060c08002d964ef7ca63b630045e8a7
idée	brillante	Non	Sa compagne, Bahia, en a eu la brillante idée, conformément à sa nature fantasque, tête brûlée, où s'amalgament une drôle d'hystérie politique et une sexualité débridée.	s417608 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s417608&idxml=libe2010_2015.xml&user=userP&token=df5d46c1ba4d684c0037e0b2701c649d
idée	brillante	Non	Il n'avait pas manifesté assez d'enthousiasme face à la brillante idée du président, bien décidé à faire venir 500 parachutistes de province vers la capitale ukrainienne, au cas où les choses tourneraient mal.	s833261 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s833261&idxml=lm2010_2015.xml&user=userP&token=ac8b5d0036608b60e85d1acbe565090f
idée	brillante	Non	Ces bestioles ont une force de tous les diables, je ne sais pas où elle l'a dénichée mais c'est une idée brillante.	s25500 	FY : Corpus fantastique de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s25500&idxml=FY.fr.CAILLET.xml&user=userP&token=c884b71507d6dc1bc4fff8905a0436b6
idée	brillante	Non	Le Surintendant avait eu la brillante idée d'instaurer un principe de convocation régulière de ses informateurs évoluant dans le milieu des books.	s1424 	FY : Corpus fantastique de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s1424&idxml=FY.fr.HELIOT.xml&user=userP&token=97daf794a394d979ec1c03920334efc4
idée	brillante	Non	En attendant d'avoir une idée brillante, je vais vous mettre en lieu sûr.	s15104 	FY : Corpus fantastique de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s15104&idxml=FY.fr.ROBILLARD.xml&user=userP&token=b45ceb512125902629d84b64011f053d
idée	brillante	Non	Heureusement que ton frère a eu la brillante idée de renverser son godet sur sa robe, sinon je ne sais pas comment je m'en serais dépêtré.	s12942 	FY : Corpus fantastique de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s12942&idxml=FY.fr.THOMAS.xml&user=userP&token=c6108296c9c53b853994804c1e746735
idée	brillante	Non	Non, mais sérieusement, repris-je avec entrain, comme si cette brillante idée venait de me traverser la tête, que feriez-vous si je vous aimais pour de bon ?	s16623 	GEN : Corpus général de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s16623&idxml=GEN.fr.SAGAN.xml&user=userP&token=6c1019fc0ef6e67e6c4d46fe268e7898
idée	brillante	Non	Elle ne peut même pas lui faire savoir qu'elle a eu, pour sauver leur famille, une idée brillante.	s3672 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s3672&idxml=LITT.fr.CHANDERNAGOR.xml&user=userP&token=e0c0dd721b6ee012a646524f0371c9ef
lèvres	brillantes	Oui	Avec mes cheveux dont le savant décoiffage était fixé à la laque, mes yeux charbonneux, mes faux cils, mes lèvres brillantes, mes faux ongles laqués, j'étais au maximum de mes capacités de séduction.	s2793 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s2793&idxml=LITT.fr.ABECASSIS.xml&user=userP&token=9125139b2771783e09df069bf8562838
veine	brillante	Oui	Une longue veine de pierre blanche et brillante courait sur la gauche, éclairant le passage d'une lueur maladive.	s6837 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s6837&idxml=LITT.fr.ANGE.xml&user=userP&token=d7512d6727950202e1420c33478b4461
épées	brillantes	Oui	Par bonheur le marché était gardé, et les gardes étaient braves et armés d'épées brillantes.	s8666 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s8666&idxml=LITT.fr.ANGE.xml&user=userP&token=f1cbd43c9efb27db068c02a1fd415b94
