				
source form		lf label		target form
cri		Oper_1		émettre
cri		Oper_1		lâcher
crime		Oper_1		accomplir
crime		Oper_1		commettre
crime		Oper_1		perpétrer
crime		Oper_1		exécuter
tête-à-queue		Oper_1		faire
rivière		Oper_1		former
brosse		Oper_1		avoir
bœuf		Oper_1		faire
taureau		Oper_1		être
cheval		Oper_1		faire
casserole		Oper_1		avoir
causette		Oper_1		faire
course		Oper_1		faire
course		Oper_1		participer
culture		Oper_1		faire
siège		Oper_1		faire
vélo		Oper_1		faire
foot		Oper_1		foot
cheveu		Oper_1		avoir
cheveu		Oper_1		porter
cor		Oper_1		jouer
train		Oper_1		former
train		Oper_1		mener
distinction		Oper_1		avoir
don		Oper_1		faire
coup		Oper_1		donner
tête dure		Oper_1		avoir
visite		Oper_1		faire
visite		Oper_1		rendre
compte		Oper_1		faire
insulte		Oper_1		adresser
insulte		Oper_1		proférer
injure		Oper_1		adresser
injure		Oper_1		dire
injure		Oper_1		proférer
injure		Oper_1		lancer
mesure		Oper_1		effectuer
ronflement		Oper_1		émettre
corps		Oper_1		appartenir
corps		Oper_1		faire partie
corps		Oper_1		relever
visage		Oper_1		arborer
visage		Oper_1		avoir
visage		Oper_1		montrer
visage		Oper_1		offrir
visage		Oper_1		présenter
corps		Oper_1		avoir
corps		Oper_1		posséder
visage		Oper_1		montrer
visage		Oper_1		présenter
visage		Oper_1		arborer
visage		Oper_1		exhiber
visage		Oper_1		afficher
déplacement		Oper_1		effectuer
déplacement		Oper_1		faire
veste		Oper_1		prendre
veste		Oper_1		prendre
veste		Oper_1		ramasser
veste		Oper_1		ramasser
veste		Oper_1		essuyer
veste		Oper_1		subir
marche		Oper_1		faire
mains propres		Oper_1		avoir
numéro		Oper_1		exécuter
numéro		Oper_1		faire
veste		Oper_1		prendre
veste		Oper_1		prendre
veste		Oper_1		ramasser
veste		Oper_1		ramasser
veste		Oper_1		manger
hold-up		Oper_1		accomplir
hold-up		Oper_1		commettre
hold-up		Oper_1		faire
hold-up		Oper_1		réaliser
autoroute		Oper_1		faire
route		Oper_1		faire
cravate		Oper_1		faire
cravate		Oper_1		donner
lessive		Oper_1		faire
lessive		Oper_1		faire
la tête près du bonnet		Oper_1		avoir
chantage		Oper_1		faire
chantage		Oper_1		exercer
chantage		Oper_1		livrer
chantage		Oper_1		recourir
chantage		Oper_1		user
chantage		Oper_1		pratiquer
famille		Oper_1		appartenir
famille		Oper_1		faire partie
famille		Oper_1		appartenir
famille		Oper_1		faire partie
famille		Oper_1		appartenir
famille		Oper_1		faire partie
famille		Oper_1		appartenir
famille		Oper_1		faire partie
téléphone		Oper_1		avoir
sport		Oper_1		faire
gymnastique		Oper_1		faire
ski		Oper_1		faire
oreille absolue		Oper_1		avoir
jogging		Oper_1		faire
jogging		Oper_1		faire
promenade		Oper_1		faire
toilette		Oper_1		faire
toilette		Oper_1		procéder
marche nordique		Oper_1		faire
marche arrière		Oper_1		faire
coup dans le nez		Oper_1		avoir
coup d’État		Oper_1		commettre
coup d’État		Oper_1		faire
coup d’État		Oper_1		perpétrer
coup de fourchette		Oper_1		avoir
coup de collier		Oper_1		donner
coup		Oper_1		faire
coup		Oper_1		jouer
coup de cœur		Oper_1		avoir
coup de maître		Oper_1		faire
coup de pied dans la fourmilière		Oper_1		donner
coup de froid		Oper_1		avoir
coup de chaleur		Oper_1		avoir
coup double		Oper_1		faire
route		Oper_1		faire
route		Oper_1		suivre
route		Oper_1		poursuivre
route		Oper_1		marcher
route		Oper_1		avancer
route		Oper_1		progresser
route		Oper_1		suivre
coup d’œil		Oper_1		avoir
fausse route		Oper_1		faire
coup par coup		Oper_1		faire
lapin		Oper_1		poser
marche		Oper_1		comporter
marche		Oper_1		composer
auto-stop		Oper_1		faire
avion		Oper_1		faire
voiture		Oper_1		faire
coup de filet		Oper_1		mener
bicyclette		Oper_1		faire
coup de frein		Oper_1		donner
coup de projecteur		Oper_1		jeter
coup de pied aux fesses		Oper_1		donner
le feu aux fesses		Oper_1		avoir
fourmis dans les jambes		Oper_1		avoir
couple		Oper_1		former
couple		Oper_1		former
gymnastique		Oper_1		faire
gymnastique		Oper_1		faire
placard		Oper_1		être
les jambes molles		Oper_1		avoir
rond de jambe		Oper_1		faire
politique		Oper_1		avoir
fond		Oper_1		avoir
tricycle		Oper_1		faire
couleur		Oper_1		avoir
couleur		Oper_1		avoir
bol		Oper_1		prendre
placard		Oper_1		être
placard		Oper_1		faire
pluie		Oper_1		tomber
pluie		Oper_1		retomber
sale boulot		Oper_1		faire
vent		Oper_1		avoir
vent		Oper_1		faire
vent		Oper_1		lâcher
train de vie		Oper_1		avoir
train de vie		Oper_1		mener
bouteille à la mer		Oper_1		jeter
bouteille à la mer		Oper_1		lancer
bouteille à la mer		Oper_1		mettre
mains sales		Oper_1		avoir
les jambes mortes		Oper_1		avoir
éclair		Oper_1		jeter
éclair		Oper_1		lancer
éclair		Oper_1		projeter
éclair		Oper_1		lancer
éclair		Oper_1		jeter
balai dans le cul		Oper_1		avoir
ventre		Oper_1		avoir
le couteau sous la gorge		Oper_1		avoir
chat dans la gorge		Oper_1		avoir
désert		Oper_1		traverser
désert		Oper_1		vivre
désert		Oper_1		connaître
désert		Oper_1		affronter
gros dos		Oper_1		faire
coup		Oper_1		faire
coup de reins		Oper_1		donner
désert		Oper_1		traverser
désert		Oper_1		parcourir
désert		Oper_1		enfoncer
bol d’air		Oper_1		prendre
petit vélo dans la tête		Oper_1		avoir
mal		Oper_1		être
dent		Oper_1		avoir
dent dure		Oper_1		avoir
dents longues		Oper_1		avoir
fleuve		Oper_1		former
chant		Oper_1		faire
repas		Oper_1		faire
repas		Oper_1		manger
repas		Oper_1		prendre
repas		Oper_1		prendre
repas		Oper_1		faire
repas		Oper_1		organiser
acte de présence		Oper_1		faire
péril		Oper_1		courir
course		Oper_1		faire
course		Oper_1		participer
table ouverte		Oper_1		tenir
cours		Oper_1		assurer
cours		Oper_1		dispenser
cours		Oper_1		donner
cours		Oper_1		faire
sprint		Oper_1		faire
sprint		Oper_1		faire
sprint		Oper_1		piquer
sprint		Oper_1		pousser
tête		Oper_1		occuper
tête		Oper_1		être
tête		Oper_1		figurer
récital		Oper_1		donner
goûter		Oper_1		prendre
moto		Oper_1		faire
bras long		Oper_1		avoir
longueur		Oper_1		faire
poids		Oper_1		avoir
cheval		Oper_1		faire
bicross		Oper_1		faire
BMX		Oper_1		faire
vélo tout chemin		Oper_1		faire
VTC		Oper_1		faire
vélo tout terrain		Oper_1		faire
VTT		Oper_1		faire
tandem		Oper_1		faire
coudées franches		Oper_1		avoir
les pieds sous la table		Oper_1		mettre
honnêteté		Oper_1		avoir
sommeil		Oper_1		avoir
roupillon		Oper_1		faire
visite médicale		Oper_1		avoir
visite médicale		Oper_1		effectuer
visite médicale		Oper_1		passer
visite médicale		Oper_1		soumettre
visite médicale		Oper_1		subir
visite		Oper_1		effectuer
manche		Oper_1		actionner
manche		Oper_1		utiliser
la tête ailleurs		Oper_1		avoir
voile		Oper_1		mettre
voile		Oper_1		jeter
vélo d’appartement		Oper_1		faire
cadavre		Oper_1		être
vacherie		Oper_1		faire
ciné		Oper_1		faire
maladie		Oper_1		avoir
maladie		Oper_1		avoir
badminton		Oper_1		faire
badminton		Oper_1		jouer
bagarreur		Oper_1		bagarrer
bagarreuse		Oper_1		bagarrer
maladie		Oper_1		avoir
maladie		Oper_1		avoir
dentition		Oper_1		faire
tête-à-queue		Oper_1		faire
tête-à-queue		Oper_1		faire
étude		Oper_1		faire
table rase		Oper_1		faire
fausse route		Oper_1		faire
coup de feu		Oper_1		tirer
coup de sang		Oper_1		avoir
vélo elliptique		Oper_1		faire
rapport		Oper_1		établir
rapport		Oper_1		faire
service		Oper_1		rendre
priorité		Oper_1		avoir
messe de minuit		Oper_1		célébrer
messe de minuit		Oper_1		dire
office		Oper_1		célébrer
tasse		Oper_1		boire
honneurs de la presse		Oper_1		avoir
honneurs de la presse		Oper_1		recevoir
main verte		Oper_1		avoir
devinette		Oper_1		poser
mélancolie		Oper_1		souffrir
mélancolie		Oper_1		éprouver
mélancolie		Oper_1		ressentir
mélancolie		Oper_1		causer
mélancolie		Oper_1		inspirer
mélancolie		Oper_1		susciter
bâtons dans les roues		Oper_1		mettre
bâtons dans les roues		Oper_1		jeter
bâtons dans les roues		Oper_1		foutre
coup d’œil		Oper_1		jeter
coup d’œil		Oper_1		lancer
coup de pied		Oper_1		donner
sermon		Oper_1		prononcer
sermon		Oper_1		faire
nausée		Oper_1		avoir
nausée		Oper_1		éprouver
nausée		Oper_1		ressentir
putsch		Oper_1		commettre
putsch		Oper_1		faire
putsch		Oper_1		perpétrer
violence		Oper_1		commettre
lumière		Oper_1		jeter
lumière		Oper_1		faire
excentricité		Oper_1		faire
excentricité		Oper_1		livrer
accident vasculaire cérébral		Oper_1		avoir
tour		Oper_1		jouer
beaux restes		Oper_1		avoir
beaux restes		Oper_1		avoir
beaux restes		Oper_1		avoir
atomes crochus		Oper_1		avoir
bougeotte		Oper_1		avoir
bon pied bon œil		Oper_1		avoir
deux poids et deux mesures		Oper_1		avoir
deux poids et deux mesures		Oper_1		faire
jeu de mots		Oper_1		faire
calembour		Oper_1		dire
calembour		Oper_1		faire
descente		Oper_1		avoir
le cul entre deux chaises		Oper_1		avoir
oui oui		Oper_1		faire
recul		Oper_1		prendre
méchanceté		Oper_1		faire
méchanceté		Oper_1		dire
vacherie		Oper_1		dire
vacherie		Oper_1		sortir
emprise		Oper_1		avoir
emprise		Oper_1		exercer
haro		Oper_1		mettre
saut		Oper_1		faire
bilan		Oper_1		effectuer
bilan		Oper_1		pratiquer
bilan		Oper_1		réaliser
bilan		Oper_1		établir
bilan		Oper_1		compléter
le pied au plancher		Oper_1		avoir
				
				
source form		lf label		target form
assis		Bon		bien
assis		Bon		confortablement
avocat		Bon		grand
avocat		Bon		renommé
avocat		Bon		éminent
avocat		Bon		ténor
chanter		Bon		comme un rossignol
cheveu		Bon		beau
cheveu		Bon		magnifique
chien		Bon		docile
chien		Bon		obéissant
chien		Bon		fidèle
conseil		Bon		d’ami
corps		Bon		beau
corps		Bon		superbe
corps		Bon		de rêve
corps		Bon		parfait
couleur		Bon		beau
couleur		Bon		joli
couleur		Bon		éclatant
couleur		Bon		magnifique
couple		Bon		beau
couple		Bon		joli
couple		Bon		idéal
couple		Bon		parfait
dormir		Bon		paisiblement
dormir		Bon		tranquillement
dormir		Bon		tranquille
douche		Bon		bon
douche		Bon		réparateur
étang		Bon		poissonneux
famille		Bon		bon
famille		Bon		honorable
famille		Bon		grand
famille		Bon		illustre
fesse		Bon		joli
fesse		Bon		beau
fesse		Bon		superbe
fesse		Bon		magnifique
forme		Bon		harmonieux
forme		Bon		épuré
forme		Bon		pur
goût		Bon		saveur
habit		Bon		beau
habit		Bon		élégant
jambe		Bon		bon
jambe		Bon		vigoureux
jambe		Bon		solide
jambe		Bon		de vingt ans
jambe		Bon		agile
jambe		Bon		joli
jambe		Bon		galbé
jambe		Bon		bien fait
jambe		Bon		beau
journaliste		Bon		grand
journaliste		Bon		vedette
journaliste		Bon		chevronné
journaliste		Bon		expérimenté
lac		Bon		clair
lac		Bon		pur
lac		Bon		limpide
lac		Bon		bleu
lac		Bon		azuré
lac		Bon		calme
linge		Bon		repasser
manger		Bon		déguster
manger		Bon		savourer
mouchoir		Bon		propre
nappe		Bon		propre
payer		Bon		rubis sur l’ongle
personnel		Bon		compétent
pluie		Bon		bienfaisant
politique		Bon		bon
politique		Bon		courageux
repas		Bon		mangeable
repas		Bon		bon
repas		Bon		délicieux
repas		Bon		succulent
serviette		Bon		chaud
serviette		Bon		propre
serviette		Bon		sec
sommeil		Bon		bon
sommeil		Bon		du juste
sommeil		Bon		innocent
sommeil		Bon		paisible
tapis		Bon		moelleux
tapis		Bon		épais
tête		Bon		beau
toilette		Bon		appliqué
toilette		Bon		méticuleux
toilette		Bon		minutieux
toilette		Bon		soigné
vin		Bon		bon
vin		Bon		rond
visage		Bon		joli
visage		Bon		agréable
visage		Bon		beau
visage		Bon		magnifique
visage		Bon		d’ange
visage		Bon		angélique
yaourt		Bon		crémeux
yaourt		Bon		onctueux
musique		Bon		mélodieux
habit		Bon		beau
habit		Bon		élégant
divorce		Bon		propre
divorce		Bon		à l’amiable
divorce		Bon		consentement mutuel
divorce		Bon		sur demande conjointe
divorce		Bon		propre
divorce		Bon		à l’amiable
divorce		Bon		consentement mutuel
thèse		Bon		bon
thèse		Bon		brillant
robe		Bon		beau
robe		Bon		beau
marcher		Bon		fort
marcher		Bon		à plein pot
marcher		Bon		à plein régime
marcher		Bon		du tonnerre de Dieu
marcher		Bon		du feu de Dieu
nager		Bon		bien
nager		Bon		comme un poisson
adaptateur		Bon		universel
chanteur		Bon		bon
chanteur		Bon		grand
chanteuse		Bon		bon
chanteuse		Bon		grand
commentateur		Bon		fin
commentatrice		Bon		fin
avocate		Bon		grand
avocate		Bon		renommé
avocate		Bon		éminent
attitude		Bon		gracieux
lever		Bon		du bon pied
costume		Bon		sur mesure
toilette		Bon		beau
toilette		Bon		élégant
toilette		Bon		joli
toilette		Bon		pimpant
toilette		Bon		raffiné
toilette		Bon		ravissant
toilette		Bon		soigné
date		Bon		grand
poitrine		Bon		beau
poitrine		Bon		magnifique
poitrine		Bon		superbe
gorge		Bon		beau
gorge		Bon		éblouissant
jambe		Bon		bon
jambe		Bon		vigoureux
jambe		Bon		solide
muscle		Bon		dessiné
oreille		Bon		attentif
entendre		Bon		comme larrons en foire
journaliste		Bon		grand
journaliste		Bon		vedette
journaliste		Bon		chevronné
journaliste		Bon		expérimenté
musicien		Bon		bon
musicien		Bon		talentueux
musicien		Bon		excellent
musicien		Bon		hors pair
musicien		Bon		accompli
musicien		Bon		grand
musicien		Bon		virtuose
musicienne		Bon		bon
musicienne		Bon		talentueux
musicienne		Bon		excellent
musicienne		Bon		hors pair
musicienne		Bon		accompli
musicienne		Bon		grand
musicienne		Bon		virtuose
observateur		Bon		fin
observatrice		Bon		fin
corps		Bon		d’élite
chiffre		Bon		bon
forme		Bon		gracieux
forme		Bon		épanoui
aller		Bon		bien
aller		Bon		à ravir
laver		Bon		plus blanc que blanc
oreille		Bon		bon
oreille		Bon		oreille absolue
oreille		Bon		exercé
meuble		Bon		élégant
meuble		Bon		beau
couple		Bon		heureux
fond		Bon		bon
en jambes		Bon		bien
tourner		Bon		rond
bouteille		Bon		bon
manger		Bon		modérément
manger		Bon		lentement
manger		Bon		bien
manger		Bon		équilibré
manger		Bon		sainement
lit		Bon		douillet
lit		Bon		moelleux
nez		Bon		délicat
pluie		Bon		bienfaisant
table		Bon		bon
table		Bon		excellent
table		Bon		savoureux
table		Bon		délicieux
couleur		Bon		bon
couleur		Bon		délicat
table		Bon		bon
table		Bon		excellent
table		Bon		convivial
table		Bon		sympathique
table		Bon		célèbre
table		Bon		en vue
table		Bon		renommé
table		Bon		réputé
prendre		Bon		bien
temps		Bon		beau
couple		Bon		charmant
couple		Bon		joli
mélomane		Bon		fin
mélomane		Bon		fin
produit		Bon		rentable
produit		Bon		vache à lait
personnel		Bon		compétent
visite		Bon		intéressant
visite		Bon		passionnant
couteau		Bon		bon
dormir		Bon		bien
dormir		Bon		suffisamment
tourner		Bon		rond
sentir		Bon		bon
sens		Bon		bon
				
				
source form		lf label		target form
assiette		AntiBon		cassé
assiette		AntiBon		ébréché
assiette		AntiBon		fêlé
assis		AntiBon		mal
avocat		AntiBon		mauvais
avocat		AntiBon		piètre
avocat		AntiBon		avocaillon
banlieue		AntiBon		zone
bateau		AntiBon		mauvais
bateau		AntiBon		rafiot
bicyclette		AntiBon		clou
chanter		AntiBon		comme une casserole
chaussette		AntiBon		troué
chaussette		AntiBon		usé
chausson		AntiBon		usé
chaussure		AntiBon		usé
chaussure		AntiBon		éculé
chien		AntiBon		indiscipliné
chien		AntiBon		agressif
chien		AntiBon		hargneux
chien		AntiBon		teigneux
chien		AntiBon		enragé
colline		AntiBon		abrupt
corps		AntiBon		difforme
crier		AntiBon		braire
dent		AntiBon		carié
dent		AntiBon		pourri
dent		AntiBon		gâté
dent		AntiBon		vilain
dent		AntiBon		déchaussé
dent		AntiBon		ébréché
dent		AntiBon		cassé
dent		AntiBon		chicot
dent		AntiBon		creux
écrivain		AntiBon		pisseur de copie
effet		AntiBon		méfait
film		AntiBon		navet
fond		AntiBon		bas-fond
jambe		AntiBon		faible
jambe		AntiBon		mauvais
journaliste		AntiBon		mauvais
journaliste		AntiBon		folliculaire
journaliste		AntiBon		journaleux
journaliste		AntiBon		plumitif
journaliste		AntiBon		pisse-copie
journaliste		AntiBon		pisseur de copie
lac		AntiBon		sombre
lac		AntiBon		impur
lac		AntiBon		boueux
lac		AntiBon		fangeux
lac		AntiBon		noir
lac		AntiBon		opaque
lac		AntiBon		houleux
linge		AntiBon		froissé
lit		AntiBon		grabat
manteau		AntiBon		élimé
manteau		AntiBon		râpé
manteau		AntiBon		usé
médecin		AntiBon		mauvais
médecin		AntiBon		médicastre
mouchoir		AntiBon		sale
nappe		AntiBon		sale
nappe		AntiBon		taché
navire		AntiBon		mauvais
navire		AntiBon		rafiot
nuage		AntiBon		lourd
nuage		AntiBon		menaçant
parler		AntiBon		baragouiner
passager		AntiBon		clandestin
personnel		AntiBon		incompétent
pluie		AntiBon		dévastateur
politique		AntiBon		mauvais
politique		AntiBon		catastrophique
politique		AntiBon		désastreux
pull		AntiBon		troué
pull		AntiBon		usé
repas		AntiBon		immangeable
repas		AntiBon		indigeste
repas		AntiBon		gras
sens		AntiBon		contresens
serviette		AntiBon		humide
serviette		AntiBon		mouillé
serviette		AntiBon		sale
sommeil		AntiBon		agité
sommeil		AntiBon		détraqué
sommeil		AntiBon		mauvais
sommeil		AntiBon		perturbé
sommeil		AntiBon		troublé
sujet		AntiBon		chiffon rouge
tapis		AntiBon		élimé
tapis		AntiBon		râpé
tapis		AntiBon		pelé
vélo		AntiBon		clou
vent		AntiBon		âpre
vent		AntiBon		mauvais
vêtement		AntiBon		usé
vêtement		AntiBon		fripé
vêtement		AntiBon		râpé
vêtement		AntiBon		fripe
vêtement		AntiBon		guenille
vêtement		AntiBon		loque
vin		AntiBon		âpre
vin		AntiBon		gâté
vin		AntiBon		mauvais
vin		AntiBon		piqué
vin		AntiBon		piquette
vin		AntiBon		vinasse
vin		AntiBon		picrate
violon		AntiBon		crin-crin
forme		AntiBon		petit
forme		AntiBon		mauvais
divorce		AntiBon		pour faute
divorce		AntiBon		aux torts exclusifs
divorce		AntiBon		par assignation
divorce		AntiBon		aux torts partagés
thèse		AntiBon		mauvais
thèse		AntiBon		médiocre
nappe		AntiBon		contaminé
nappe		AntiBon		pollué
marcher		AntiBon		mal
marcher		AntiBon		au ralenti
nager		AntiBon		mal
élève		AntiBon		mauvais
élève		AntiBon		cancre
élève		AntiBon		mauvais
élève		AntiBon		cancre
avocate		AntiBon		mauvais
avocate		AntiBon		piètre
avocate		AntiBon		avocaillonne
attitude		AntiBon		gauche
lever		AntiBon		lever du pied gauche
toilette		AntiBon		négligé
tête		AntiBon		de _N de long
gueule		AntiBon		de _N de long
jambe		AntiBon		faible
jambe		AntiBon		mauvais
médecin		AntiBon		mauvais
médecin		AntiBon		médicastre
entendre		AntiBon		comme chien et chat
journaliste		AntiBon		mauvais
journaliste		AntiBon		folliculaire
journaliste		AntiBon		journaleuse
journaliste		AntiBon		pisse-copie
journaliste		AntiBon		pisseuse de copie
réponse		AntiBon		Normand
courriel		AntiBon		frauduleux
courriel		AntiBon		hameçonnage
courriel		AntiBon		spam
courriel		AntiBon		pourriel
moral		AntiBon		à zéro
moral		AntiBon		dans les chaussettes
forme		AntiBon		petit
forme		AntiBon		mauvais
chiffre		AntiBon		mauvais
forme		AntiBon		disgracieux
vêtement		AntiBon		usé
vêtement		AntiBon		fripé
vêtement		AntiBon		râpé
nuage		AntiBon		lourd
nuage		AntiBon		menaçant
écriture		AntiBon		pattes de mouche
aller		AntiBon		mal
triangle		AntiBon		infernal
chausson		AntiBon		usé
alcool		AntiBon		bibine
fond		AntiBon		vieux
couple		AntiBon		malheureux
fond		AntiBon		mauvais
fond		AntiBon		méchant
politique		AntiBon		politicard
homme politique		AntiBon		politicard
femme politique		AntiBon		politicarde
politicien		AntiBon		politicard
politicienne		AntiBon		politicarde
linge		AntiBon		souillé
rouge		AntiBon		gros
rouge		AntiBon		qui tache
bouteille		AntiBon		mauvais
manger		AntiBon		mal
manger		AntiBon		gras
pluie		AntiBon		dévastateur
prendre		AntiBon		mal
temps		AntiBon		mauvais
personnel		AntiBon		incompétent
couteau		AntiBon		mauvais
dormir		AntiBon		à la dure
dormir		AntiBon		mal
dormir		AntiBon		insuffisamment
finir		AntiBon		bâcler
crier		AntiBon		braire
bouche		AntiBon		pâteux
parler		AntiBon		comme une vache espagnole
parler		AntiBon		baragouiner
langage		AntiBon		baragouin
négocier		AntiBon		chipoter
langue		AntiBon		jargon
sentir		AntiBon		mauvais
mélange		AntiBon		mariage de la carpe et du lapin
recevoir		AntiBon		comme un chien dans un jeu de quilles
sens		AntiBon		mauvais
prêcher		AntiBon		prêcher un converti
			
source form		lf label		target form
ami		Magn		bon
ami		Magn		grand
ami		Magn		vrai
ami		Magn		meilleur
ami		Magn		intime
ami		Magn		proche
analogie		Magn		singulier
analogie		Magn		saisissant
analogie		Magn		évident
analogie		Magn		remarquable
averse		Magn		bon
averse		Magn		beau
averse		Magn		abondant
averse		Magn		gros
averse		Magn		copieux
averse		Magn		fort
averse		Magn		intense
averse		Magn		important
averse		Magn		puissant
averse		Magn		soutenu
averse		Magn		brutal
averse		Magn		violent
averse		Magn		méchant
averse		Magn		sacré
averse		Magn		énorme
averse		Magn		torrentiel
averse		Magn		déluge
bandit		Magn		de grand chemin
beau		Magn		à croquer
beau		Magn		à croquer
bête		Magn		à manger du foin
bière		Magn		fort
blesser		Magn		grièvement
blesser		Magn		gravement
bureau		Magn		de ministre
camion		Magn		gros
camion		Magn		lourd
chaleur		Magn		intense
chanter		Magn		fort
chanter		Magn		à tue-tête
chanter		Magn		à pleins poumons
chanter		Magn		à pleine voix
cheveu		Magn		beaucoup
cheveu		Magn		épais
cheveu		Magn		touffu
cheveu		Magn		masse
cigare		Magn		gros
cigare		Magn		énorme
cigare		Magn		gigantesque
cigare		Magn		monstrueux
cigare		Magn		barreau de chaise
couleur		Magn		ardent
couleur		Magn		brillant
couleur		Magn		vif
couleur		Magn		foncé
couleur		Magn		sombre
coûter		Magn		les yeux de la tête
crime		Magn		grave
crime		Magn		énorme
crime		Magn		abominable
crime		Magn		inqualifiable
crime		Magn		contre nature
crime		Magn		du siècle
degré		Magn		haut
délinquance		Magn		grand
délinquance		Magn		gros
demain		Magn		après-demain
dormir		Magn		à poings fermés
dormir		Magn		profondément
dormir		Magn		comme un loir
dormir		Magn		comme une marmotte
dormir		Magn		comme une bûche
dormir		Magn		comme une masse
dormir		Magn		comme une souche
dormir		Magn		comme un sonneur
dormir		Magn		comme un bébé
douzaine		Magn		bon
douzaine		Magn		gros
droit		Magn		comme un i
drôle		Magn		à se rouler par terre
éclair		Magn		vif
éclair		Magn		aveuglant
éclair		Magn		éblouissant
éclair		Magn		foudroyant
éclair		Magn		fulgurant
éclair		Magn		violent
éclair		Magn		terrible
éclair		Magn		grand
éclair		Magn		large
ennemi		Magn		juré
ennemi		Magn		pire
expérience		Magn		riche
fesse		Magn		rebondi
fesse		Magn		dodu
fesse		Magn		gros
fesse		Magn		gras
fesse		Magn		d’éléphant
fond		Magn		fin
franc		Magn		comme l’or
frisson		Magn		grand
grave		Magn		gravissime
grave		Magn		très
hier		Magn		avant-hier
incident		Magn		accident
indigestion		Magn		grave
ivre		Magn		complètement
ivre		Magn		mort
joli		Magn		à croquer
joli		Magn		beau
maigre		Magn		comme un clou
maigre		Magn		squelettique
mal		Magn		bien
mal		Magn		très
maladie		Magn		douloureux
maladie		Magn		grave
maladie		Magn		malin
maladie		Magn		incurable
maladie		Magn		inguérissable
maladie		Magn		mortel
maladie		Magn		foudroyant
mémoire		Magn		éléphant
millier		Magn		bon
moment		Magn		court
moyen		Magn		très
moyen		Magn		médiocre
muet		Magn		comme une tombe
neuf		Magn		flambant neuf
nez		Magn		gros
nombre		Magn		grand
nuage		Magn		dense
nuage		Magn		épais
obéir		Magn		au doigt et à l’œil
œil		Magn		de chat
orage		Magn		important
orage		Magn		beau
orage		Magn		gros
orage		Magn		violent
orage		Magn		furieux
orage		Magn		terrible
orage		Magn		épouvantable
orage		Magn		affreux
orage		Magn		effroyable
